이름,정당,위원회,지역구,대표발의,공동발의,총법안,위원회다양성,질적점수,협력점수,연결성점수,종합점수,등급,클러스터참여
이정헌,더불어민주당,과학기술정보방송통신위원회,서울 광진구갑,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
이종욱,국민의힘,국토교통위원회,경남 창원시진해구,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
이주영,개혁신당,보건복지위원회,비례대표,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
이주희,더불어민주당,"과학기술정보방송통신위원회, 여성가족위원회",비례대표,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
이준석,개혁신당,과학기술정보방송통신위원회,경기 화성시을,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
이춘석,더불어민주당,외교통일위원회,전북 익산시갑/전북 익산시갑/전북 익산시갑/전북 익산시갑,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
인요한,국민의미래,외교통일위원회,비례대표,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
장동혁,국민의힘,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 산업통상자원중소벤처기업위원회",충남 보령시서천군/충남 보령시서천군,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
장철민,더불어민주당,"산업통상자원중소벤처기업위원회, 여성가족위원회",대전 동구/대전 동구,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
전용기,더불어민주당,"국토교통위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회",비례대표/경기 화성시정,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
전종덕,더불어민주연합,"농림축산식품해양수산위원회, 연금개혁 특별위원회, 예산결산특별위원회",비례대표,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
조승래,더불어민주당,기획재정위원회,대전 유성구갑/대전 유성구갑/대전 유성구갑,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
조은희,국민의힘,"여성가족위원회, 기후위기 특별위원회, 문화체육관광위원회, 예산결산특별위원회",서울 서초구갑/서울 서초구갑,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
주진우,국민의힘,"법제사법위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회",부산 해운대구갑,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
진선미,더불어민주당,교육위원회,비례대표/서울 강동구갑/서울 강동구갑/서울 강동구갑,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
진종오,국민의미래,문화체육관광위원회,비례대표,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
차지호,더불어민주당,"외교통일위원회, 기후위기 특별위원회, 예산결산특별위원회",경기 오산시,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
채현일,더불어민주당,"행정안전위원회, 여성가족위원회, 국회운영위원회",서울 영등포구갑,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
천하람,개혁신당,"기획재정위원회, 예산결산특별위원회",비례대표,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
최기상,더불어민주당,"기획재정위원회, 예산결산특별위원회",서울 금천구/서울 금천구,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
최혁진,더불어민주연합,법제사법위원회,,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
추미애,더불어민주당,"윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 법제사법위원회",서울 광진구을/서울특별시 광진구을/서울 광진구을/서울 광진구을/서울 광진구을/경기 하남시갑,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
한지아,국민의미래,"보건복지위원회, 여성가족위원회",비례대표,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
허성무,더불어민주당,"산업통상자원중소벤처기업위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 산불피해지원대책 특별위원회, 예산결산특별위원회",경남 창원시성산구,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
황운하,조국혁신당,국토교통위원회,대전 중구/비례대표,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
황희,더불어민주당,국방위원회,서울 양천구갑/서울 양천구갑/서울 양천구갑,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
