proposer1,proposer2,collaboration_score
김성원,김정호,170.00
김성원,김종민,170.00
김성원,김종양,320.00
김성원,김주영,200.00
김성원,김준혁,200.00
김성원,김준형,170.00
김성원,김태년,208.00
김성원,김태선,200.00
김성원,김태호,320.00
김성원,김한규,170.00
김성원,김현,208.00
김성원,김현정,200.00
김성원,김형동,320.00
김성원,김희정,358.00
김성원,나경원,358.00
김성원,남인순,200.00
김성원,노종면,200.00
김성원,맹성규,208.00
김성원,모경종,200.00
김성원,문금주,170.00
김성원,문대림,170.00
김성원,문정복,200.00
김성원,문진석,170.00
이철규,강경숙,45.00
이철규,강대식,45.00
이철규,강득구,45.00
이철규,강명구,45.00
이철규,강민국,45.00
이철규,강선영,45.00
이철규,강선우,45.00
이철규,강승규,45.00
이철규,강유정,45.00
이철규,강준현,45.00
이철규,강훈식,45.00
이철규,고동진,45.00
이철규,고민정,45.00
이철규,곽규택,45.00
이철규,곽상언,45.00
이철규,구자근,45.00
이철규,권성동,45.00
이철규,권영세,45.00
이철규,권영진,45.00
이철규,권칠승,45.00
이철규,권향엽,45.00
이철규,김건,45.00
이철규,김교흥,45.00
이철규,김기웅,45.00
이철규,김기표,45.00
이철규,김기현,45.00
이철규,김남근,45.00
이철규,김남희,45.00
이철규,김대식,45.00
이철규,김도읍,45.00
이철규,김동아,45.00
이철규,김문수,45.00
이철규,김미애,45.00
이철규,김민석,45.00
이철규,김민전,45.00
이철규,김병기,45.00
이철규,김병주,45.00
이철규,김상욱,45.00
이철규,김상훈,45.00
이철규,김석기,45.00
이철규,김선교,45.00
이철규,김선민,45.00
이철규,김성원,45.00
이철규,김성환,45.00
이철규,김성회,45.00
이철규,김소희,45.00
이철규,김승수,45.00
이철규,김승원,45.00
이철규,김영배,45.00
이철규,김영진,45.00
이철규,김영호,45.00
이철규,김영환,45.00
이철규,김예지,45.00
이철규,김용만,45.00
이철규,김용민,45.00
이철규,김용태,45.00
이철규,김우영,45.00
이철규,김원이,45.00
이철규,김위상,45.00
이철규,김윤,45.00
이철규,김윤덕,45.00
이철규,김은혜,45.00
이철규,김장겸,45.00
이철규,김재섭,45.00
이철규,김재원,45.00
이철규,김정재,45.00
이철규,김정호,45.00
이철규,김종민,45.00
이철규,김종양,45.00
이철규,김주영,45.00
이철규,김준혁,45.00
이철규,김준형,45.00
이철규,김태년,45.00
이철규,김태선,45.00
이철규,김태호,45.00
이철규,김한규,45.00
이철규,김현,45.00
이철규,김현정,45.00
이철규,김형동,45.00
이철규,김희정,45.00
이철규,나경원,45.00
이철규,남인순,45.00
이철규,노종면,45.00
이철규,맹성규,45.00
이철규,모경종,45.00
이철규,문금주,45.00
이철규,문대림,45.00
이철규,문정복,45.00
이철규,문진석,45.00
윤준병,강경숙,71.00
윤준병,강대식,71.00
윤준병,강득구,71.00
윤준병,강명구,71.00
윤준병,강민국,71.00
윤준병,강선영,71.00
윤준병,강선우,71.00
윤준병,강승규,71.00
윤준병,강유정,71.00
윤준병,강준현,71.00
윤준병,강훈식,71.00
윤준병,고동진,71.00
윤준병,고민정,71.00
윤준병,곽규택,71.00
윤준병,곽상언,71.00
윤준병,구자근,71.00
윤준병,권성동,71.00
윤준병,권영세,71.00
윤준병,권영진,71.00
윤준병,권칠승,71.00
윤준병,권향엽,71.00
윤준병,김건,71.00
윤준병,김교흥,71.00
윤준병,김기웅,71.00
윤준병,김기표,71.00
윤준병,김기현,71.00
윤준병,김남근,71.00
윤준병,김남희,71.00
윤준병,김대식,71.00
윤준병,김도읍,71.00
윤준병,김동아,71.00
윤준병,김문수,71.00
윤준병,김미애,71.00
윤준병,김민석,71.00
윤준병,김민전,71.00
윤준병,김병기,71.00
윤준병,김병주,71.00
윤준병,김상욱,71.00
윤준병,김상훈,71.00
윤준병,김석기,71.00
윤준병,김선교,71.00
윤준병,김선민,71.00
윤준병,김성원,71.00
윤준병,김성환,71.00
윤준병,김성회,71.00
윤준병,김소희,71.00
윤준병,김승수,71.00
윤준병,김승원,71.00
윤준병,김영배,71.00
윤준병,김영진,71.00
윤준병,김영호,71.00
윤준병,김영환,71.00
윤준병,김예지,71.00
윤준병,김용만,71.00
윤준병,김용민,71.00
윤준병,김용태,71.00
윤준병,김우영,71.00
윤준병,김원이,71.00
윤준병,김위상,71.00
윤준병,김윤,71.00
윤준병,김윤덕,71.00
윤준병,김은혜,71.00
윤준병,김장겸,71.00
윤준병,김재섭,71.00
윤준병,김재원,71.00
윤준병,김정재,71.00
윤준병,김정호,71.00
윤준병,김종민,71.00
윤준병,김종양,71.00
윤준병,김주영,71.00
윤준병,김준혁,71.00
윤준병,김준형,71.00
윤준병,김태년,71.00
윤준병,김태선,71.00
윤준병,김태호,71.00
윤준병,김한규,71.00
윤준병,김현,71.00
윤준병,김현정,71.00
윤준병,김형동,71.00
윤준병,김희정,71.00
윤준병,나경원,71.00
윤준병,남인순,71.00
윤준병,노종면,71.00
윤준병,맹성규,71.00
윤준병,모경종,71.00
윤준병,문금주,71.00
윤준병,문대림,71.00
윤준병,문정복,71.00
윤준병,문진석,71.00
김정재,강경숙,505.00
김정재,강대식,602.00
김정재,강득구,497.00
김정재,강명구,602.00
김정재,강민국,602.00
김정재,강선영,497.00
김정재,강선우,497.00
김정재,강승규,602.00
김정재,강유정,497.00
김정재,강준현,497.00
김정재,강훈식,497.00
김정재,고동진,602.00
김정재,고민정,497.00
김정재,곽규택,602.00
김정재,곽상언,497.00
김정재,구자근,602.00
김정재,권성동,610.00
김정재,권영세,602.00
김정재,권영진,602.00
김정재,권칠승,497.00
김정재,권향엽,497.00
김정재,김건,497.00
김정재,김교흥,497.00
김정재,김기웅,602.00
김정재,김기표,497.00
김정재,김기현,602.00
김정재,김남근,497.00
김정재,김남희,497.00
김정재,김대식,602.00
김정재,김도읍,602.00
김정재,김동아,497.00
김정재,김문수,505.00
김정재,김미애,602.00
김정재,김민석,497.00
김정재,김민전,505.00
김정재,김병기,497.00
김정재,김병주,497.00
김정재,김상욱,602.00
김정재,김상훈,602.00
김정재,김석기,602.00
김정재,김선교,602.00
김정재,김선민,505.00
김정재,김성원,602.00
김정재,김성환,497.00
김정재,김성회,497.00
김정재,김소희,497.00
김정재,김승수,602.00
김정재,김승원,497.00
김정재,김영배,497.00
김정재,김영진,497.00
김정재,김영호,505.00
김정재,김영환,505.00
김정재,김예지,505.00
김정재,김용만,497.00
김정재,김용민,497.00
김정재,김용태,602.00
김정재,김우영,497.00
김정재,김원이,497.00
김정재,김위상,497.00
김정재,김윤,497.00
김정재,김윤덕,497.00
김정재,김은혜,602.00
김정재,김장겸,497.00
김정재,김재섭,602.00
김정재,김재원,497.00
김정재,김정호,497.00
김정재,김종민,497.00
김정재,김종양,602.00
김정재,김주영,521.00
김정재,김준혁,497.00
김정재,김준형,497.00
김정재,김태년,505.00
김정재,김태선,497.00
김정재,김태호,602.00
김정재,김한규,497.00
김정재,김현,497.00
김정재,김현정,497.00
김정재,김형동,602.00
김정재,김희정,602.00
김정재,나경원,602.00
김정재,남인순,497.00
김정재,노종면,497.00
김정재,맹성규,497.00
김정재,모경종,497.00
김정재,문금주,497.00
김정재,문대림,497.00
김정재,문정복,505.00
김정재,문진석,497.00
박정하,강경숙,34.00
박정하,강대식,34.00
박정하,강득구,34.00
박정하,강명구,34.00
박정하,강민국,34.00
박정하,강선영,34.00
박정하,강선우,34.00
박정하,강승규,34.00
박정하,강유정,34.00
박정하,강준현,34.00
박정하,강훈식,34.00
박정하,고동진,34.00
박정하,고민정,34.00
박정하,곽규택,34.00
박정하,곽상언,34.00
박정하,구자근,34.00
박정하,권성동,34.00
박정하,권영세,34.00
박정하,권영진,34.00
박정하,권칠승,34.00
박정하,권향엽,34.00
박정하,김건,34.00
박정하,김교흥,34.00
박정하,김기웅,34.00
박정하,김기표,34.00
박정하,김기현,34.00
박정하,김남근,34.00
박정하,김남희,34.00
박정하,김대식,34.00
박정하,김도읍,34.00
박정하,김동아,34.00
박정하,김문수,34.00
박정하,김미애,34.00
박정하,김민석,34.00
박정하,김민전,34.00
박정하,김병기,34.00
박정하,김병주,34.00
박정하,김상욱,34.00
박정하,김상훈,34.00
박정하,김석기,34.00
박정하,김선교,34.00
박정하,김선민,34.00
박정하,김성원,34.00
박정하,김성환,34.00
박정하,김성회,34.00
박정하,김소희,34.00
박정하,김승수,34.00
박정하,김승원,34.00
박정하,김영배,34.00
박정하,김영진,34.00
박정하,김영호,34.00
박정하,김영환,34.00
박정하,김예지,34.00
박정하,김용만,34.00
박정하,김용민,34.00
박정하,김용태,34.00
박정하,김우영,34.00
박정하,김원이,34.00
박정하,김위상,34.00
박정하,김윤,34.00
박정하,김윤덕,34.00
박정하,김은혜,34.00
박정하,김장겸,34.00
박정하,김재섭,34.00
박정하,김재원,34.00
박정하,김정재,34.00
박정하,김정호,34.00
박정하,김종민,34.00
박정하,김종양,34.00
박정하,김주영,34.00
박정하,김준혁,34.00
박정하,김준형,34.00
박정하,김태년,34.00
박정하,김태선,34.00
박정하,김태호,34.00
박정하,김한규,34.00
박정하,김현,34.00
박정하,김현정,34.00
박정하,김형동,34.00
박정하,김희정,34.00
박정하,나경원,34.00
박정하,남인순,34.00
박정하,노종면,34.00
박정하,맹성규,34.00
박정하,모경종,34.00
박정하,문금주,34.00
박정하,문대림,34.00
박정하,문정복,34.00
박정하,문진석,34.00
강유정,강경숙,154.00
강유정,강대식,154.00
강유정,강득구,154.00
강유정,강명구,154.00
강유정,강민국,154.00
강유정,강선영,154.00
강유정,강선우,154.00
강유정,강승규,154.00
강유정,강준현,154.00
강유정,강훈식,154.00
강유정,고동진,154.00
강유정,고민정,154.00
강유정,곽규택,154.00
강유정,곽상언,154.00
강유정,구자근,154.00
강유정,권성동,154.00
강유정,권영세,154.00
강유정,권영진,154.00
강유정,권칠승,154.00
강유정,권향엽,154.00
강유정,김건,154.00
강유정,김교흥,154.00
강유정,김기웅,154.00
강유정,김기표,154.00
강유정,김기현,154.00
강유정,김남근,154.00
강유정,김남희,154.00
강유정,김대식,154.00
강유정,김도읍,154.00
강유정,김동아,154.00
강유정,김문수,154.00
강유정,김미애,154.00
강유정,김민석,154.00
강유정,김민전,154.00
강유정,김병기,154.00
강유정,김병주,154.00
강유정,김상욱,154.00
강유정,김상훈,154.00
강유정,김석기,154.00
강유정,김선교,154.00
강유정,김선민,154.00
강유정,김성원,154.00
강유정,김성환,154.00
강유정,김성회,154.00
강유정,김소희,154.00
강유정,김승수,154.00
강유정,김승원,154.00
강유정,김영배,154.00
강유정,김영진,154.00
강유정,김영호,154.00
강유정,김영환,154.00
강유정,김예지,154.00
강유정,김용만,154.00
강유정,김용민,154.00
강유정,김용태,154.00
강유정,김우영,154.00
강유정,김원이,154.00
강유정,김위상,154.00
강유정,김윤,304.00
강유정,김윤덕,154.00
강유정,김은혜,154.00
강유정,김장겸,154.00
강유정,김재섭,154.00
